,frameNo,position,SEQ,No,filepPath,x,y
8,8,9,9,1,./data/8.jpg,727,847
23,9,9,9,1,./data/9.jpg,723,850
38,10,9,9,1,./data/10.jpg,717,847
53,11,9,9,1,./data/11.jpg,713,840
68,12,9,9,1,./data/12.jpg,710,840
83,13,9,9,1,./data/13.jpg,707,840
98,14,9,9,1,./data/14.jpg,707,840
113,15,9,9,1,./data/15.jpg,703,837
128,16,9,9,1,./data/16.jpg,703,837
143,17,9,9,1,./data/17.jpg,703,840
158,18,9,9,1,./data/18.jpg,707,840
173,19,9,9,1,./data/19.jpg,703,840
188,20,9,9,1,./data/20.jpg,707,847
203,21,9,9,1,./data/21.jpg,703,854
218,22,9,8,1,./data/22.jpg,697,803
233,23,9,9,1,./data/23.jpg,693,790
248,24,9,9,1,./data/24.jpg,700,780
263,25,9,9,1,./data/25.jpg,703,773
278,26,9,9,1,./data/26.jpg,693,770
293,27,9,9,1,./data/27.jpg,690,770
308,28,9,9,1,./data/28.jpg,703,776
323,29,9,9,1,./data/29.jpg,707,783
338,30,9,9,1,./data/30.jpg,713,790
353,31,9,9,1,./data/31.jpg,700,817
368,32,9,9,1,./data/32.jpg,690,857
383,33,9,9,1,./data/33.jpg,690,861
398,34,9,9,1,./data/34.jpg,690,864
413,35,9,9,1,./data/35.jpg,693,861
428,36,9,9,1,./data/36.jpg,693,867
443,37,9,9,1,./data/37.jpg,693,871
458,38,9,9,1,./data/38.jpg,693,874
473,39,9,9,1,./data/39.jpg,700,878
488,40,9,9,1,./data/40.jpg,703,878
503,41,9,9,1,./data/41.jpg,710,881
518,42,9,9,1,./data/42.jpg,713,881
533,43,9,9,1,./data/43.jpg,720,884
548,44,9,9,1,./data/44.jpg,737,888
563,45,9,9,1,./data/45.jpg,757,884
578,46,9,9,1,./data/46.jpg,780,884
593,47,9,9,1,./data/47.jpg,810,881
608,48,9,9,1,./data/48.jpg,843,864
623,49,9,9,1,./data/49.jpg,867,861
638,50,9,9,1,./data/50.jpg,893,861
653,51,9,9,1,./data/51.jpg,913,867
668,52,9,9,1,./data/52.jpg,947,881
683,53,9,9,1,./data/53.jpg,987,901
698,54,9,9,1,./data/54.jpg,1023,908
713,55,9,9,1,./data/55.jpg,1060,891
728,56,9,9,1,./data/56.jpg,1077,888
743,57,9,9,1,./data/57.jpg,1090,881
758,58,9,9,1,./data/58.jpg,1097,874
773,59,9,9,1,./data/59.jpg,1103,867
788,60,9,8,1,./data/60.jpg,1097,861
803,61,9,7,1,./data/61.jpg,1097,844
9,8,10,10,1,./data/8.jpg,713,1016
24,9,10,10,1,./data/9.jpg,713,1023
39,10,10,10,1,./data/10.jpg,713,1016
54,11,10,10,1,./data/11.jpg,713,1019
69,12,10,10,1,./data/12.jpg,713,1019
84,13,10,10,1,./data/13.jpg,713,1023
99,14,10,10,1,./data/14.jpg,713,1019
114,15,10,10,1,./data/15.jpg,717,1016
129,16,10,10,1,./data/16.jpg,717,1016
144,17,10,10,1,./data/17.jpg,717,1023
159,18,10,10,1,./data/18.jpg,717,1019
174,19,10,10,1,./data/19.jpg,717,1023
189,20,10,10,1,./data/20.jpg,717,1023
204,21,10,10,1,./data/21.jpg,720,1019
219,22,10,9,1,./data/22.jpg,720,1019
234,23,10,10,1,./data/23.jpg,723,1009
249,24,10,10,1,./data/24.jpg,727,986
264,25,10,10,1,./data/25.jpg,730,979
279,26,10,10,1,./data/26.jpg,717,965
294,27,10,10,1,./data/27.jpg,717,969
309,28,10,10,1,./data/28.jpg,710,969
324,29,10,10,1,./data/29.jpg,717,982
339,30,10,10,1,./data/30.jpg,723,1009
354,31,10,10,1,./data/31.jpg,717,999
369,32,10,10,1,./data/32.jpg,717,1006
384,33,10,10,1,./data/33.jpg,730,1012
399,34,10,10,1,./data/34.jpg,737,1033
414,35,10,10,1,./data/35.jpg,717,1019
429,36,10,10,1,./data/36.jpg,717,1019
444,37,10,10,1,./data/37.jpg,720,1016
459,38,10,10,1,./data/38.jpg,717,1012
474,39,10,10,1,./data/39.jpg,720,1012
489,40,10,10,1,./data/40.jpg,717,1012
504,41,10,10,1,./data/41.jpg,717,1012
519,42,10,10,1,./data/42.jpg,717,1009
534,43,10,10,1,./data/43.jpg,717,1006
549,44,10,10,1,./data/44.jpg,717,1009
564,45,10,10,1,./data/45.jpg,713,1012
579,46,10,10,1,./data/46.jpg,713,1002
594,47,10,10,1,./data/47.jpg,710,986
609,48,10,10,1,./data/48.jpg,710,979
624,49,10,10,1,./data/49.jpg,720,958
639,50,10,10,1,./data/50.jpg,730,955
654,51,10,10,1,./data/51.jpg,740,958
669,52,10,10,1,./data/52.jpg,773,958
684,53,10,10,1,./data/53.jpg,800,958
699,54,10,10,1,./data/54.jpg,827,955
714,55,10,10,1,./data/55.jpg,857,945
729,56,10,10,1,./data/56.jpg,880,928
744,57,10,10,1,./data/57.jpg,897,898
759,58,10,10,1,./data/58.jpg,910,854
774,59,10,10,1,./data/59.jpg,927,803
789,60,10,9,1,./data/60.jpg,963,753
804,61,10,8,1,./data/61.jpg,1003,705
10,8,11,11,1,./data/8.jpg,850,638
25,9,11,11,1,./data/9.jpg,840,634
40,10,11,11,1,./data/10.jpg,833,638
55,11,11,11,1,./data/11.jpg,827,634
70,12,11,11,1,./data/12.jpg,820,631
85,13,11,11,1,./data/13.jpg,807,631
100,14,11,11,1,./data/14.jpg,803,628
115,15,11,11,1,./data/15.jpg,800,624
130,16,11,11,1,./data/16.jpg,793,621
145,17,11,11,1,./data/17.jpg,790,618
160,18,11,11,1,./data/18.jpg,790,614
175,19,11,11,1,./data/19.jpg,793,614
190,20,11,11,1,./data/20.jpg,793,614
205,21,11,11,1,./data/21.jpg,797,608
220,22,11,10,1,./data/22.jpg,797,604
235,23,11,11,1,./data/23.jpg,797,604
250,24,11,11,1,./data/24.jpg,803,601
265,25,11,11,1,./data/25.jpg,803,601
280,26,11,11,1,./data/26.jpg,807,604
295,27,11,11,1,./data/27.jpg,810,601
310,28,11,11,1,./data/28.jpg,820,608
325,29,11,11,1,./data/29.jpg,823,614
340,30,11,11,1,./data/30.jpg,823,618
355,31,11,11,1,./data/31.jpg,827,624
370,32,11,11,1,./data/32.jpg,830,638
385,33,11,11,1,./data/33.jpg,833,645
400,34,11,11,1,./data/34.jpg,843,648
415,35,11,11,1,./data/35.jpg,850,662
430,36,11,11,1,./data/36.jpg,857,665
445,37,11,11,1,./data/37.jpg,863,672
460,38,11,11,1,./data/38.jpg,873,682
475,39,11,11,1,./data/39.jpg,877,682
490,40,11,11,1,./data/40.jpg,890,688
505,41,11,11,1,./data/41.jpg,900,692
520,42,11,11,1,./data/42.jpg,920,695
535,43,11,11,1,./data/43.jpg,933,695
550,44,11,11,1,./data/44.jpg,950,692
565,45,11,11,1,./data/45.jpg,970,692
580,46,11,11,1,./data/46.jpg,993,688
595,47,11,11,1,./data/47.jpg,1013,688
610,48,11,11,1,./data/48.jpg,1037,688
625,49,11,11,1,./data/49.jpg,1057,692
640,50,11,11,1,./data/50.jpg,1073,695
655,51,11,11,1,./data/51.jpg,1073,695
